SJÖID	NAMN	DATUM1	NÄTNR	MASKA	FISKART	ANTAL	TOTVIKT	ANMÄRKNINGAR
648779-150974	Roxen	20180806	1		ABBOR	250	2210	
648779-150974	Roxen	20180806	1		BRAXE	1	1	
648779-150974	Roxen	20180806	1		MÖRT	43	2530	
648779-150974	Roxen	20180806	2		ABBOR	241	2186	
648779-150974	Roxen	20180806	2		BJÖNA	3	70	
648779-150974	Roxen	20180806	2		BRAXE	2	100	
648779-150974	Roxen	20180806	2		GERS	23	126	
648779-150974	Roxen	20180806	2		GÖS	4	89	
648779-150974	Roxen	20180806	2		MÖRT	48	2989	
648779-150974	Roxen	20180806	2		SARV	1	66	
648779-150974	Roxen	20180806	3		ABBOR	25	550	
648779-150974	Roxen	20180806	3		BENLÖ	3	5	
648779-150974	Roxen	20180806	3		BRAXE	1	15	
648779-150974	Roxen	20180806	3		GERS	1	1	
648779-150974	Roxen	20180806	3		MÖRT	33	2600	
648779-150974	Roxen	20180806	4		ABBOR	315	3308	
